1: P1: Qh,2c | P2: 8c,3s | P3: 7s,2d | P4: Tc,7c | P5: 6d,3h | CC: Js,6h,6c,Kc,Th
2: P1: Ts,Jd | P2: 8h,Qh | P3: 7d,2s | P4: Ks,Js | P5: 6c,7s | CC: 7c,Ac,8d,Ad,4h
3: P1: Ah,8c | P2: 4d,2h | P3: 5h,Qs | P4: 2d,Qh | P5: 6c,9h | CC: 4c,8s,Qc,9s,Kd
4: P1: Kd,3d | P2: 5s,8s | P3: Ah,8d | P4: 8c,6h | P5: 3h,2h | CC: 9h,Qd,3c,Ad,6s
5: P1: Tc,6c | P2: 7h,Qd | P3: 7d,9s | P4: 9c,Qh | P5: Js,6s | CC: Kd,Jh,2s,Th,Jc
6: P1: 5c,As | P2: 6d,Ac | P3: Ah,Jh | P4: 5h,4h | P5: Kc,4d | CC: Qc,Tc,3h,Qh,3c
7: P1: 2c,9s | P2: 8s,Ts | P3: 4s,Th | P4: Qs,9h | P5: 2h,Jh | CC: 7d,4d,8d,3h,6s
8: P1: Td,5c | P2: 4d,Jh | P3: Qd,2s | P4: 7c,8s | P5: 9h,9c | CC: 6c,5d,5h,8h,3d
9: P1: 5h,6h | P2: 8d,4s | P3: Jc,6d | P4: 9d,7h | P5: 6c,3c | CC: 2d,5d,7c,8h,9s
10: P1: 7c,3s | P2: 5h,6c | P3: Td,Js | P4: Ks,9h | P5: 2h,4h | CC: Qh,2s,Jh,Tc,Qs
11: P1: 2s,8h | P2: 6c,9d | P3: 8c,Jd | P4: Ad,Qh | P5: 3s,6s | CC: 5d,Th,2h,Qs,8s
12: P1: Td,Ad | P2: 5d,6h | P3: 6s,8h | P4: Qh,5s | P5: 2c,9d | CC: Kd,7c,3c,9s,Tc
13: P1: Jc,7h | P2: 5d,Tc | P3: Jh,3c | P4: 9c,Jd | P5: 3s,7c | CC: Kd,2c,Qd,8c,6s
14: P1: Jh,8s | P2: Kh,4h | P3: 2d,Qh | P4: 6s,7c | P5: 4d,3d | CC: 5c,6h,4c,5d,Qs
15: P1: 2c,2d | P2: Kh,5s | P3: Kc,2h | P4: 9d,Qc | P5: 6h,Jh | CC: Jc,8c,8s,Ks,Jd
16: P1: Ad,9h | P2: Ts,Js | P3: Qd,4s | P4: Qh,3c | P5: As,9s | CC: 3d,4h,7h,Kd,5s
17: P1: Td,5s | P2: 9d,8d | P3: 9s,Th | P4: 3c,5c | P5: Kc,2d | CC: 7c,6c,Ac,5h,Tc
18: P1: 7c,5s | P2: 2d,6d | P3: 5c,Ac | P4: 2c,9h | P5: 3s,Td | CC: 8d,2h,Qc,Ts,Js
19: P1: 9c,8c | P2: 5d,7c | P3: 3c,Th | P4: Qd,Jc | P5: Kd,Qc | CC: 8d,Jh,Ah,Kh,3h
20: P1: 7c,Jh | P2: 3c,9d | P3: 4s,Ac | P4: Td,2h | P5: Kd,8c | CC: Js,Jc,4d,3d,7d
