1: P1: 2s,8s | P2: Ts,As | P3: 5c,6s | P4: 2h,6h | P5: Kc,9s | P6: Ah,Jc | CC: 5s,Tc,7h,Qc,2d
2: P1: 3c,6h | P2: 5d,Kd | P3: Jc,Th | P4: 2s,3d | P5: Qd,Ts | P6: Kh,8h | CC: 6d,4d,Td,Ks,Ac
3: P1: 9c,9s | P2: Ac,9h | P3: Ah,Th | P4: 4c,6s | P5: 7s,3s | P6: 6c,5d | CC: Ad,9d,Tc,2c,Js
4: P1: 7s,Kc | P2: Jc,Js | P3: Qd,9c | P4: 9d,Ad | P5: 3c,3h | P6: Qc,Ah | CC: Kh,5c,Th,6s,4s
5: P1: Td,3c | P2: Ac,7h | P3: 8c,4h | P4: 8s,9c | P5: 7d,Kh | P6: 3d,Ts | CC: 9h,Qh,8d,Qs,As
6: P1: Ts,3h | P2: 9d,3d | P3: Td,Qh | P4: 7c,7d | P5: 2s,5d | P6: 2d,8h | CC: 9c,5c,7s,Qd,5s
7: P1: 3s,5d | P2: Ah,7d | P3: 7c,Kd | P4: 4s,4d | P5: 8c,8d | P6: 2h,5c | CC: 5h,6s,Ks,Td,Qs
8: P1: Jc,7h | P2: Ac,2h | P3: 4s,Ah | P4: 9d,As | P5: 6c,2s | P6: Kc,Th | CC: 8h,3c,4c,5h,Tc
9: P1: Th,Qd | P2: 2h,Jh | P3: 7c,7s | P4: Ks,4s | P5: 3d,4c | P6: Ts,9h | CC: Qc,Tc,5s,2c,Ad
10: P1: 3d,5s | P2: 9s,3s | P3: 5h,8c | P4: Kh,7d | P5: Jd,Ah | P6: 4s,2d | CC: Kc,Qh,Jh,3c,9h
11: P1: 7h,Th | P2: 3s,Jc | P3: As,5c | P4: 3h,2h | P5: 5d,8c | P6: Ks,Tc | CC: 7d,5s,Qd,Jd,Kd
12: P1: 8h,Js | P2: 2c,5h | P3: Jh,3h | P4: 9d,As | P5: 4d,Ac | P6: 6c,6s | CC: 9c,Qc,Kd,Kh,5d
13: P1: 7d,9d | P2: Ac,4c | P3: 2c,Ks | P4: 9h,6d | P5: 5s,Jc | P6: Kd,6h | CC: 3c,3s,Kh,Jd,8c
14: P1: 5d,4d | P2: 6c,5s | P3: As,7c | P4: Kd,8d | P5: Ac,Jd | P6: 8s,Ad | CC: Kh,9h,Jh,3c,4s
15: P1: 8c,Tc | P2: 9c,Js | P3: 6s,Ah | P4: 7h,2h | P5: 5c,Jc | P6: 7s,Qh | CC: Kc,Jd,4c,7d,Ts
16: P1: 4c,Kh | P2: Th,Kd | P3: 3d,Ac | P4: 2c,5c | P5: Qh,5h | P6: Td,6d | CC: Jd,3h,3c,Jh,4d
17: P1: 4c,5h | P2: 7s,Ah | P3: 8c,Ad | P4: 4s,Jc | P5: 4h,As | P6: 3h,Qd | CC: 3s,Ac,8s,Jd,Kd
18: P1: Tc,Qs | P2: Ks,Kc | P3: 9c,7h | P4: Jd,2s | P5: 4d,5h | P6: Qd,As | CC: 7s,2h,4h,3c,Js
19: P1: Jd,9d | P2: Qs,Kh | P3: 7d,4d | P4: 7s,6h | P5: Th,6d | P6: 4c,4s | CC: 3c,Ah,2d,6c,Qd
20: P1: Jd,Qh | P2: 5c,9s | P3: Ks,6c | P4: Ah,4h | P5: 2d,As | P6: Qs,Ts | CC: 5s,8s,Ac,4c,2s
21: P1: 7s,Qs | P2: 9h,2c | P3: 3h,4c | P4: 7h,4s | P5: 9d,Ac | P6: 6s,Kc | CC: 4h,Qd,9s,Tc,9c
