1: P0: Kh,7d | P1: 4h,Ts | P2: As,9h | P3: 3d,8c | P4: 7h,6c | P5: 7s,Th | CC: 5d,4c,Ac,Ah,4s
2: P0: Jh,5h | P1: 9c,6d | P2: 5d,7h | P3: 9d,4c | P4: As,2c | P5: 5s,3h | CC: Kc,Ad,3c,Qc,Jd
3: P0: 3c,Th | P1: 7c,7s | P2: 4s,Ac | P3: 8c,7d | P4: 9h,6h | P5: Kh,Qd | CC: Qh,5c,5h,4h,5d
4: P0: 9h,6d | P1: Jh,2s | P2: 3c,4d | P3: Tc,3s | P4: Kd,4s | P5: 9s,9c | CC: 2c,Qh,8d,5h,2d
5: P0: Td,As | P1: 5c,Ad | P2: 3s,9c | P3: 9h,6s | P4: 7h,Jh | P5: 8c,Th | CC: Tc,2c,8s,5s,Qc
6: P0: 3s,6h | P1: 9c,Qs | P2: Jd,As | P3: Ah,2h | P4: 9h,Js | P5: 4s,Td | CC: 8d,5s,Jh,Kh,8h
7: P0: Td,Js | P1: 9h,3d | P2: Ac,Qh | P3: 3c,9s | P4: 4s,8s | P5: Kc,7c | CC: 2s,Jh,2c,5s,Ah
8: P0: 3c,8d | P1: 4c,8s | P2: As,7d | P3: 8h,6s | P4: Th,Kc | P5: Ah,4d | CC: 5d,5c,9d,Qh,Jc
9: P0: Ah,8s | P1: 9d,Th | P2: Qh,4c | P3: 3c,5s | P4: 9s,Jh | P5: 3d,As | CC: 2h,Ts,7c,4d,7h
10: P0: 5d,As | P1: Qd,Ad | P2: Kh,4s | P3: 5s,Jh | P4: 5c,Qh | P5: 9h,Qc | CC: 9c,Kc,Tc,5h,6h
11: P0: 8s,Kh | P1: 2d,7s | P2: 6h,7d | P3: Js,6c | P4: 9h,Ad | P5: As,Qs | CC: Tc,9d,2s,Jc,3d
12: P0: Jd,7s | P1: Qc,3s | P2: Jh,6h | P3: Qd,7c | P4: 4s,3c | P5: Kc,4d | CC: Kh,3h,4c,8s,Ts
13: P0: Kh,Th | P1: 4d,Ad | P2: Qc,9s | P3: 6c,3s | P4: 8h,7c | P5: 9c,8s | CC: 3h,2d,Kc,7d,3c
14: P0: Qh,4h | P1: 7c,As | P2: 2d,Kc | P3: 6d,8s | P4: 7h,Qs | P5: Jh,6c | CC: 6h,Td,Kh,Jc,Ks
15: P0: Qd,9c | P1: 2s,9h | P2: Qs,Kc | P3: 3c,2h | P4: 2c,9s | P5: Ad,Kd | CC: Kh,Qh,2d,4d,8s
16: P0: Jh,9d | P1: Kc,7c | P2: Qd,Jd | P3: 6h,Ah | P4: 5s,8c | P5: 5d,2d | CC: Ks,7h,Ad,Qs,Jc
17: P0: Tc,6d | P1: Th,Jd | P2: Td,3d | P3: 9d,7s | P4: As,8s | P5: Ad,4s | CC: 5c,Kd,9h,3c,Ah
18: P0: Jh,Kc | P1: Td,5h | P2: 5d,9d | P3: 5c,As | P4: Kd,Qd | P5: Jd,2c | CC: 4h,3d,2h,Jc,Qc
19: P0: Td,4c | P1: Kd,7d | P2: 6d,3d | P3: 9s,7s | P4: Jh,5d | P5: 8s,8d | CC: Jc,Kc,Ks,2d,9c
20: P0: 5s,Jh | P1: 3d,Ad | P2: 8c,As | P3: 3s,9h | P4: 7h,4s | P5: 6s,2s | CC: 5c,Qd,3h,Th,Tc
21: P0: Jc,9s | P1: 9h,7s | P2: 9c,9d | P3: 3s,2d | P4: 3d,7d | P5: 6s,Th | CC: Jh,8h,Ah,3h,6d
22: P0: 3d,9d | P1: Qc,As | P2: 2s,Kh | P3: Kd,6h | P4: 9s,Th | P5: Jc,2h | CC: 9c,5d,3c,7c,5s
23: P0: 7h,Th | P1: Td,9d | P2: Ks,6h | P3: 2h,Ts | P4: 3c,Qs | P5: 8h,4h | CC: Jh,4s,6c,7s,2c
