1: P1: 4d,Js | P2: Kc,7c | P3: 8c,Td | P4: 5h,7h | P5: 7d,Ah | P6: 9c,Kh | CC: 2c,Ac,Qd,9d,5s
2: P1: 7h,Td | P2: Ad,4d | P3: 9d,Tc | P4: 7d,Th | P5: 2s,8h | P6: As,7c | CC: 3h,Qd,3c,2c,Ah
3: P1: 6c,6h | P2: 3c,Ks | P3: Tc,Qc | P4: 5s,9d | P5: Kh,8d | P6: 6s,Js | CC: Kc,3h,Ts,2c,Ad
4: P1: 9h,Jd | P2: 4d,9d | P3: Qh,4h | P4: Tc,9s | P5: Kc,Qc | P6: Kh,Jh | CC: 7c,2s,Td,7s,Ac
5: P1: 7h,4c | P2: Ac,2c | P3: 9d,6d | P4: 8d,6h | P5: 9s,Ad | P6: 5d,3h | CC: 9c,7d,3s,2s,Ks
6: P1: Ts,Ac | P2: Qc,Kd | P3: Tc,2c | P4: 6c,5d | P5: 6d,Kh | P6: Jc,Qh | CC: 6h,Td,7h,4d,Kc
7: P1: Td,7s | P2: 6s,5h | P3: 4h,Qd | P4: Qc,5d | P5: 7c,Qh | P6: 4s,Ts | CC: 2d,4c,9h,4d,As
8: P1: 5s,8d | P2: 8s,Ad | P3: Jh,Kd | P4: 4s,6d | P5: As,Qc | P6: Jd,2h | CC: 5c,3h,6c,6s,Kc
9: P1: 8c,Jh | P2: Qs,Ah | P3: Js,4s | P4: Tc,Qd | P5: 5d,Jd | P6: 5h,3h | CC: Kc,3d,2h,As,2c
10: P1: 4h,Qs | P2: 2d,8h | P3: As,Tc | P4: 2s,7c | P5: Qd,7s | P6: 5c,Jd | CC: 3d,6s,7d,Ks,Ac
11: P1: Ac,Td | P2: 2h,Ks | P3: 8d,7c | P4: 6d,Kd | P5: Qc,3c | P6: 6s,5d | CC: 3d,Jc,Ah,4c,Jh
12: P1: 8s,7d | P2: 2c,9s | P3: Qs,Qd | P4: 5h,6d | P5: 7h,Jd | P6: 4d,4h | CC: 3d,Kh,8c,3c,2h
13: P1: 3s,Kh | P2: 7d,Td | P3: Ks,Th | P4: 4c,5s | P5: 6s,4h | P6: Qh,Kd | CC: 4s,5h,6h,4d,Jd
14: P1: 8h,Ks | P2: Qc,5d | P3: Th,Tc | P4: Qs,Jc | P5: Qh,2s | P6: Jd,8d | CC: 6c,2c,3s,Td,8c
15: P1: 6c,Qc | P2: 6h,8d | P3: 9c,Jd | P4: Ac,7c | P5: 3h,6d | P6: 3d,Ts | CC: Jc,Kc,9d,Kd,3c
16: P1: Js,Tc | P2: Ac,4s | P3: 9d,Ah | P4: Td,Kh | P5: 5c,2s | P6: Ad,5h | CC: 7c,8s,Kc,Th,Jc
17: P1: Jc,3c | P2: 6s,Th | P3: 5h,Tc | P4: Js,9c | P5: 9d,2c | P6: 9s,Td | CC: 9h,7h,4h,6h,8c
18: P1: 3s,6c | P2: 8h,6d | P3: 8d,Ad | P4: 8s,Kc | P5: Kd,Js | P6: 7h,Qs | CC: 9c,Ah,Qh,Jc,3h
19: P1: Kh,9c | P2: 9h,Qh | P3: 2d,4s | P4: 2h,2s | P5: 6h,Tc | P6: 8c,Ks | CC: Jd,Th,Qd,Ah,8h
20: P1: 3s,4d | P2: Ad,Ks | P3: 9d,6d | P4: Jh,2d | P5: Ah,8c | P6: 6s,4h | CC: 8s,5c,3d,8h,Qc
